"doy","year","stand","sensorLoc","sensorUID","ndvi"
161,18,"hd","overstory",8,0.255
162,18,"hd","overstory",8,0.351
163,18,"hd","overstory",8,0.447
164,18,"hd","overstory",8,0.506
165,18,"hd","overstory",8,0.534
166,18,"hd","overstory",8,0.535
167,18,"hd","overstory",8,0.552
168,18,"hd","overstory",8,0.561
169,18,"hd","overstory",8,0.567
170,18,"hd","overstory",8,0.577
171,18,"hd","overstory",8,0.569
172,18,"hd","overstory",8,0.563
173,18,"hd","overstory",8,0.558
174,18,"hd","overstory",8,0.549
175,18,"hd","overstory",8,0.561
176,18,"hd","overstory",8,0.572
177,18,"hd","overstory",8,0.562
182,2016,"hd","overstory",8,0.574
183,2016,"hd","overstory",8,0.54
184,2016,"hd","overstory",8,0.574
185,2016,"hd","overstory",8,0.566
186,2016,"hd","overstory",8,0.587
187,2016,"hd","overstory",8,0.556
188,2016,"hd","overstory",8,NA
189,2016,"hd","overstory",8,NA
190,2016,"hd","overstory",8,0.563
191,2016,"hd","overstory",8,NA
192,2016,"hd","overstory",8,0.54
193,2016,"hd","overstory",8,NA
194,2016,"hd","overstory",8,0.542
195,2016,"hd","overstory",8,NA
196,2016,"hd","overstory",8,NA
197,2016,"hd","overstory",8,NA
198,2016,"hd","overstory",8,0.565
199,2016,"hd","overstory",8,NA
200,2016,"hd","overstory",8,0.578
201,2016,"hd","overstory",8,NA
202,2016,"hd","overstory",8,NA
203,2016,"hd","overstory",8,0.416
204,2016,"hd","overstory",8,NA
205,2016,"hd","overstory",8,0.529
206,2016,"hd","overstory",8,NA
207,2016,"hd","overstory",8,NA
208,2016,"hd","overstory",8,0.521
209,2016,"hd","overstory",8,0.515
210,2016,"hd","overstory",8,0.508
211,2016,"hd","overstory",8,0.559
212,2016,"hd","overstory",8,0.564
213,2016,"hd","overstory",8,0.543
214,2016,"hd","overstory",8,NA
215,2016,"hd","overstory",8,0.542
216,2016,"hd","overstory",8,0.543
217,2016,"hd","overstory",8,0.519
218,2016,"hd","overstory",8,0.5
219,2016,"hd","overstory",8,0.421
220,2016,"hd","overstory",8,0.451
221,2016,"hd","overstory",8,0.528
222,2016,"hd","overstory",8,0.514
223,2016,"hd","overstory",8,0.509
224,2016,"hd","overstory",8,NA
225,2016,"hd","overstory",8,0.482
226,2016,"hd","overstory",8,0.407
227,2016,"hd","overstory",8,0.481
228,2016,"hd","overstory",8,0.48
229,2016,"hd","overstory",8,0.457
230,2016,"hd","overstory",8,0.454
231,2016,"hd","overstory",8,NA
232,2016,"hd","overstory",8,0.439
233,2016,"hd","overstory",8,0.479
234,2016,"hd","overstory",8,0.435
235,2016,"hd","overstory",8,0.496
236,2016,"hd","overstory",8,0.462
237,2016,"hd","overstory",8,0.415
238,2016,"hd","overstory",8,NA
239,2016,"hd","overstory",8,0.357
240,2016,"hd","overstory",8,NA
